Platform=Cloudflare One,AWS Region=us-west-1,Instance=ip-172-31-4-143,Timestamp=2025-06-03T20:02:59.715226,Public IP=104.28.233.73,"Location=San Jose, US","Network ASN=AS13335 Cloudflare, Inc.",,
DOWNLOAD,sse-test-bucket-sa-east-1,"São Paulo, BR",0.889,1.657,0.587,3.133,3.19,10485760
DOWNLOAD,sse-test-bucket-us-east-1,"Ashburn, US",0.461,0.686,0.558,1.705,5.86,10485760
DOWNLOAD,sse-test-bucket-us-west-1,"San Jose, US",0.178,0.194,0.566,0.938,10.66,10485760
IPERF3-TCP,13.247.37.65,"Cape Town, ZA",tcp,118341132,94.67,79.02,242,
IPERF3-UDP-UL-100M,13.247.37.65,"Cape Town, ZA",udp,124989524,99.99,0.034748368,0,0
IPERF3-UDP-DL-100M,13.247.37.65,"Cape Town, ZA",udp,129039468,99.99,0.033832521,227,0.21602382923649374
IPERF3-UDP-UL-500M,13.247.37.65,"Cape Town, ZA",udp,624952532,499.96,0.015376612235370877,6382,1.2540306021193943
IPERF3-UDP-DL-500M,13.247.37.65,"Cape Town, ZA",udp,644011092,499.97,0.059749978,6391,1.218635532445146
IPERF3-UDP-UL-1000M,13.247.37.65,"Cape Town, ZA",udp,1249922256,999.93,0.013501290578106583,255594,25.111116350903668
IPERF3-UDP-DL-1000M,13.247.37.65,"Cape Town, ZA",udp,1295413516,1000,0.023924629466687317,438512,41.5691769
IPERF3-UDP-UL-5000M,13.247.37.65,"Cape Town, ZA",udp,3226342820,2581.07,0.006542958,1837464,69.93695084
IPERF3-UDP-DL-5000M,13.247.37.65,"Cape Town, ZA",udp,3508755804,2696.75,0.036893035,2081850,72.86092116
IPERF3-TCP,18.182.224.145,"Tokyo, JP",tcp,340415108,272.33,265.99,657,
IPERF3-UDP-UL-100M,18.182.224.145,"Tokyo, JP",udp,124988296,99.99,0.022424906809277348,337,0.3310998015366175
IPERF3-UDP-DL-100M,18.182.224.145,"Tokyo, JP",udp,126788544,99.99,0.031995214,238,0.23051293971796064
IPERF3-UDP-UL-500M,18.182.224.145,"Tokyo, JP",udp,624952532,499.96,0.012444883,6636,1.3039403127020213
IPERF3-UDP-DL-500M,18.182.224.145,"Tokyo, JP",udp,634512512,499.97,0.042200498,6483,1.2546835325447452
IPERF3-UDP-UL-1000M,18.182.224.145,"Tokyo, JP",udp,1249921028,999.93,0.011298185056738207,256081,25.158986924412314
IPERF3-UDP-DL-1000M,18.182.224.145,"Tokyo, JP",udp,1271289456,999.98,0.023676587756181755,462836,44.70756878518467
IPERF3-UDP-UL-5000M,18.182.224.145,"Tokyo, JP",udp,3319532056,2655.62,0.008576677,1871551,69.2345966
IPERF3-UDP-DL-5000M,18.182.224.145,"Tokyo, JP",udp,4948167056,3888.14,0.030636927006520424,3300722,81.91491051388626
IPERF3-TCP,54.179.99.200,"Singapore, SG",tcp,244755136,195.8,174.01,487,
IPERF3-UDP-UL-100M,54.179.99.200,"Singapore, SG",udp,124989524,99.99,0.030845195,82,0.080563552
IPERF3-UDP-DL-100M,54.179.99.200,"Singapore, SG",udp,127639548,99.99,0.042703129,128,0.12314678519544742
IPERF3-UDP-UL-500M,54.179.99.200,"Singapore, SG",udp,624954988,499.96,0.013905199289453392,6413,1.2601169926177147
IPERF3-UDP-DL-500M,54.179.99.200,"Singapore, SG",udp,638324224,499.99,0.018284751,7703,1.4818933144545678
IPERF3-UDP-UL-1000M,54.179.99.200,"Singapore, SG",udp,1249927168,999.93,0.009916015,216181,21.238858934859156
IPERF3-UDP-DL-1000M,54.179.99.200,"Singapore, SG",udp,1284041008,999.93,0.018192922777171758,516956,49.43938425991454
IPERF3-UDP-UL-5000M,54.179.99.200,"Singapore, SG",udp,3241662120,2593.33,0.011661139298113327,1798946,68.14731474852167
IPERF3-UDP-DL-5000M,54.179.99.200,"Singapore, SG",udp,4905264420,3815.16,0.058773316,3237649,81.05236805970186
IPERF3-TCP,43.204.17.203,"Mumbai, IN",tcp,165808244,132.65,126.67,329,
IPERF3-UDP-UL-100M,43.204.17.203,"Mumbai, IN",udp,124989524,99.99,0.080007644,34,0.0334044
IPERF3-UDP-DL-100M,43.204.17.203,"Mumbai, IN",udp,128402136,99.99,0.02451844,276,0.2639582257416652
IPERF3-UDP-UL-500M,43.204.17.203,"Mumbai, IN",udp,624953760,499.96,0.022792033,6844,1.3448086143205218
IPERF3-UDP-DL-500M,43.204.17.203,"Mumbai, IN",udp,642393816,500,0.054624128,7696,1.4711673376382566
IPERF3-UDP-UL-1000M,43.204.17.203,"Mumbai, IN",udp,1249928396,999.94,0.026146668,243640,23.936564763026634
IPERF3-UDP-DL-1000M,43.204.17.203,"Mumbai, IN",udp,1285540396,999.97,0.1445724874567966,473419,45.222890996573554
IPERF3-UDP-UL-5000M,43.204.17.203,"Mumbai, IN",udp,3014290552,2411.43,0.011744159,1629997,66.40488969027562
IPERF3-UDP-DL-5000M,43.204.17.203,"Mumbai, IN",udp,4984412704,3851.59,0.015896647446467047,3249634,80.06059668368906
IPERF3-TCP,13.237.82.59,"Sydney, AU",tcp,279286496,223.43,213.89,626,
IPERF3-UDP-UL-100M,13.237.82.59,"Sydney, AU",udp,124989524,99.99,0.038405394,62,0.060913905
IPERF3-UDP-DL-100M,13.237.82.59,"Sydney, AU",udp,127276060,100,0.043021183,245,0.2363838101210864
IPERF3-UDP-UL-500M,13.237.82.59,"Sydney, AU",udp,624951304,499.96,0.014441906642590535,6943,1.3642669349482628
IPERF3-UDP-DL-500M,13.237.82.59,"Sydney, AU",udp,636574324,499.98,0.017966244,7881,1.5203044852936922
IPERF3-UDP-UL-1000M,13.237.82.59,"Sydney, AU",udp,1249922256,999.93,0.011410780842455438,236387,23.224103307750045
IPERF3-UDP-DL-1000M,13.237.82.59,"Sydney, AU",udp,1278287828,999.99,0.086792151,438832,42.15683543221535
IPERF3-UDP-UL-5000M,13.237.82.59,"Sydney, AU",udp,2745593100,2196.47,0.015430285016028061,1440082,64.40942381447564
IPERF3-UDP-DL-5000M,13.237.82.59,"Sydney, AU",udp,5209471948,4079.6,0.020368717,3491246,82.29721037
IPERF3-TCP,63.177.5.144,"Frankfurt am Main, DE",tcp,221571724,177.26,164.53,415,
IPERF3-UDP-UL-100M,63.177.5.144,"Frankfurt am Main, DE",udp,124989524,99.99,0.039605336520080456,0,0
IPERF3-UDP-DL-100M,63.177.5.144,"Frankfurt am Main, DE",udp,127702176,99.99,0.03755825,441,0.42407108239095315
IPERF3-UDP-UL-500M,63.177.5.144,"Frankfurt am Main, DE",udp,624956216,499.96,0.012270675,6347,1.2471459280597026
IPERF3-UDP-DL-500M,63.177.5.144,"Frankfurt am Main, DE",udp,639067164,499.99,0.053290791,6314,1.213267155124872
